gvim,emacs,"git bash",notepad,"vbox_terminal",vs2013,powershell,sublime,"notepad++"
19.97,19.96,59.92,19.94,59.60,20.35,19.91,19.92,20.84
19.86,19.89,40.21,19.75,59.59,20.51,19.95,19.86,20.90
19.79,19.93,59.78,19.82,59.63,20.39,19.86,19.90,20.92
19.86,19.86,59.77,19.85,59.69,20.13,19.90,19.89,20.85
19.90,19.88,59.91,19.94,59.68,20.35,19.90,19.88,20.89
19.80,19.89,60.05,19.87,59.54,20.35,19.75,19.85,20.84
19.92,20.05,40.20,20.01,59.46,20.29,19.85,19.90,20.84
19.89,20.00,59.84,19.92,59.55,20.43,20.00,19.94,20.91
19.81,20.01,59.83,19.80,59.61,20.48,19.82,19.88,20.80
19.82,19.85,59.83,19.79,59.51,20.22,19.98,19.88,20.89
19.89,19.90,60.05,19.76,59.63,20.36,19.85,19.85,20.97
19.96,19.90,40.16,19.80,59.58,20.30,19.87,19.86,20.93
19.95,19.88,59.91,19.89,59.48,20.40,19.90,19.82,20.82
